chr start end strand gene gene_start gene_end breadth gene_strand expression SI promoter
6380 scaffold_4 2813356 2813360 + JGI_V11_42116 2812975 2817541 5 + 1450 NA scaffold_4_2813356_2813360_+
6381 scaffold_4 2822918 2822923 + JGI_V11_234969 2822877 2826615 6 + 2443 NA scaffold_4_2822918_2822923_+
6382 scaffold_4 2827310 2827347 + JGI_V11_305553 2826825 2830521 38 + 17091 NA scaffold_4_2827310_2827347_+
6383 scaffold_4 2827484 2827485 + JGI_V11_305553 2826825 2830521 2 + 436 NA scaffold_4_2827484_2827485_+
6384 scaffold_4 2838177 2838208 + JGI_V11_311781 2838136 2843549 32 + 1924 NA scaffold_4_2838177_2838208_+
6385 scaffold_4 2844492 2844542 + JGI_V11_230342 2844014 2848068 51 + 14710 NA scaffold_4_2844492_2844542_+
6388 scaffold_4 2912755 2912763 + JGI_V11_221383 2912155 2913548 9 + 784 NA scaffold_4_2912755_2912763_+
6389 scaffold_4 2924570 2924571 + JGI_V11_42484 2922542 2928384 2 + 1240 NA scaffold_4_2924570_2924571_+
6391 scaffold_4 3014914 3014944 + JGI_V11_305562 3014442 3016257 31 + 8777 NA scaffold_4_3014914_3014944_+
6392 scaffold_4 3017158 3017162 + JGI_V11_305563 3016658 3017907 5 + 4969 NA scaffold_4_3017158_3017162_+
6393 scaffold_4 3050370 3050398 + JGI_V11_235026 3049998 3051208 29 + 2801 NA scaffold_4_3050370_3050398_+
6394 scaffold_4 126916 126917 - JGI_V11_305568 126263 129833 2 - 1353 NA scaffold_4_126916_126917_-
6395 scaffold_4 127012 127013 - JGI_V11_305568 126263 129833 2 - 991 NA scaffold_4_127012_127013_-
6396 scaffold_4 127071 127115 - JGI_V11_305568 126263 129833 45 - 3160 NA scaffold_4_127071_127115_-
6397 scaffold_4 127458 127459 - JGI_V11_305568 126263 129833 2 - 683 NA scaffold_4_127458_127459_-
6398 scaffold_4 127580 127605 - JGI_V11_305568 126263 129833 26 - 4715 NA scaffold_4_127580_127605_-
6399 scaffold_4 127841 127843 - JGI_V11_305568 126263 129833 3 - 838 NA scaffold_4_127841_127843_-
6400 scaffold_4 129325 129340 - JGI_V11_305568 126263 129833 16 - 146822 NA scaffold_4_129325_129340_-
6402 scaffold_4 219193 219194 - JGI_V11_42230 210714 219469 2 - 1353 NA scaffold_4_219193_219194_-
6403 scaffold_4 219253 219260 - JGI_V11_42230 210714 219469 8 - 1398 NA scaffold_4_219253_219260_-
6404 scaffold_4 221437 221451 - JGI_V11_191515 220047 221914 15 - 1772 NA scaffold_4_221437_221451_-
6405 scaffold_4 230409 230410 - JGI_V11_305573 228693 231376 2 - 535 NA scaffold_4_230409_230410_-
6406 scaffold_4 230862 230903 - JGI_V11_305573 228693 231376 42 - 5126 NA scaffold_4_230862_230903_-
6407 scaffold_4 291708 291711 - JGI_V11_305425 290891 292211 4 - 1613 NA scaffold_4_291708_291711_-
6408 scaffold_4 302435 302437 - JGI_V11_311269 301154 302855 3 - 486 NA scaffold_4_302435_302437_-
6409 scaffold_4 326012 326013 - JGI_V11_234352 324848 329055 2 - 1566 NA scaffold_4_326012_326013_-
6410 scaffold_4 382725 382745 - JGI_V11_311294 379451 383112 21 - 3889 NA scaffold_4_382725_382745_-
6412 scaffold_4 434818 434819 - JGI_V11_311297 431147 435314 2 - 607 NA scaffold_4_434818_434819_-
6415 scaffold_4 508377 508378 - JGI_V11_18594 507762 508463 2 - 1376 NA scaffold_4_508377_508378_-
6416 scaffold_4 508422 508444 - JGI_V11_18594 507762 508463 23 - 2936 NA scaffold_4_508422_508444_-
6419 scaffold_4 523563 523571 - JGI_V11_206720 521176 523824 9 - 2578 NA scaffold_4_523563_523571_-
6420 scaffold_4 539525 539526 - JGI_V11_311322 530051 541055 2 - 2182 NA scaffold_4_539525_539526_-
6421 scaffold_4 563928 563951 - JGI_V11_305445 562627 564445 24 - 19213 NA scaffold_4_563928_563951_-
6422 scaffold_4 570195 570210 - JGI_V11_305446 568618 570696 16 - 1156 NA scaffold_4_570195_570210_-
6423 scaffold_4 611649 611657 - JGI_V11_311335 609676 617003 9 - 1419 NA scaffold_4_611649_611657_-
6424 scaffold_4 734116 734121 - JGI_V11_305605 726417 740902 6 - 3524 NA scaffold_4_734116_734121_-
6425 scaffold_4 754517 754518 - JGI_V11_305606 742898 763899 2 - 298 NA scaffold_4_754517_754518_-
6427 scaffold_4 779954 779958 - JGI_V11_311360 779065 780429 5 - 197 NA scaffold_4_779954_779958_-
6429 scaffold_4 841801 841814 - JGI_V11_191611 831708 855225 14 - 1278 NA scaffold_4_841801_841814_-
6430 scaffold_4 851281 851284 - JGI_V11_191611 831708 855225 4 - 902 NA scaffold_4_851281_851284_-
6431 scaffold_4 859092 859095 - JGI_V11_6759 855536 863642 4 - 1160 NA scaffold_4_859092_859095_-
6433 scaffold_4 950731 950733 - JGI_V11_311386 948318 951258 3 - 1886 NA scaffold_4_950731_950733_-
6434 scaffold_4 989584 989585 - JGI_V11_42254 986636 989951 2 - 573 NA scaffold_4_989584_989585_-
6435 scaffold_4 1011809 1011810 - JGI_V11_96055 1009051 1014618 2 - 812 NA scaffold_4_1011809_1011810_-
6437 scaffold_4 1119015 1119023 - JGI_V11_206791 1117326 1119515 9 - 1990 NA scaffold_4_1119015_1119023_-
6438 scaffold_4 1132022 1132023 - JGI_V11_96073 1130405 1132510 2 - 361 NA scaffold_4_1132022_1132023_-
6439 scaffold_4 1132085 1132123 - JGI_V11_96073 1130405 1132510 39 - 3370 NA scaffold_4_1132085_1132123_-
6440 scaffold_4 1190753 1190754 - JGI_V11_42080 1187875 1191128 2 - 1497 NA scaffold_4_1190753_1190754_-
6441 scaffold_4 1200864 1200894 - JGI_V11_305633 1198034 1201223 31 - 3656 NA scaffold_4_1200864_1200894_-
6442 scaffold_4 1204662 1204681 - JGI_V11_230303 1203492 1205181 20 - 94237 NA scaffold_4_1204662_1204681_-
6443 scaffold_4 1206964 1206968 - JGI_V11_305472 1205657 1207468 5 - 875 NA scaffold_4_1206964_1206968_-
6444 scaffold_4 1209804 1209874 - JGI_V11_305473 1208900 1210387 71 - 8999 NA scaffold_4_1209804_1209874_-
6445 scaffold_4 1213286 1213292 - JGI_V11_96097 1211439 1214171 7 - 1879 NA scaffold_4_1213286_1213292_-
6446 scaffold_4 1224081 1224084 - JGI_V11_305634 1217429 1226944 4 - 526 NA scaffold_4_1224081_1224084_-
6448 scaffold_4 1246250 1246255 - JGI_V11_191687 1241508 1250590 6 - 984 NA scaffold_4_1246250_1246255_-
6449 scaffold_4 1246737 1246738 - JGI_V11_191687 1241508 1250590 2 - 15042 NA scaffold_4_1246737_1246738_-
6450 scaffold_4 1246763 1246791 - JGI_V11_191687 1241508 1250590 29 - 14951 NA scaffold_4_1246763_1246791_-
6451 scaffold_4 1299006 1299083 - JGI_V11_311453 1298588 1299607 78 - 26622 NA scaffold_4_1299006_1299083_-
6452 scaffold_4 1304651 1304668 - JGI_V11_311457 1303790 1305144 18 - 2661 NA scaffold_4_1304651_1304668_-
6453 scaffold_4 1306062 1306063 - JGI_V11_221202 1305223 1307452 2 - 483 NA scaffold_4_1306062_1306063_-
6454 scaffold_4 1306939 1306964 - JGI_V11_221202 1305223 1307452 26 - 8726 NA scaffold_4_1306939_1306964_-
6455 scaffold_4 1358456 1358481 - JGI_V11_234592 1356066 1358711 26 - 2259 NA scaffold_4_1358456_1358481_-
6456 scaffold_4 1370437 1370438 - JGI_V11_290510 1369600 1371569 2 - 630 NA scaffold_4_1370437_1370438_-
6456.1 scaffold_4 1370437 1370438 - JGI_V11_92009 1369600 1371569 2 - 630 NA scaffold_4_1370437_1370438_-
6457 scaffold_4 1370613 1370615 - JGI_V11_290510 1369600 1371569 3 - 2921 NA scaffold_4_1370613_1370615_-
6457.1 scaffold_4 1370613 1370615 - JGI_V11_92009 1369600 1371569 3 - 2921 NA scaffold_4_1370613_1370615_-
6458 scaffold_4 1370879 1370880 - JGI_V11_290510 1369600 1371569 2 - 851 NA scaffold_4_1370879_1370880_-
6458.1 scaffold_4 1370879 1370880 - JGI_V11_92009 1369600 1371569 2 - 851 NA scaffold_4_1370879_1370880_-
6459 scaffold_4 1371048 1371075 - JGI_V11_290510 1369600 1371569 28 - 15452 NA scaffold_4_1371048_1371075_-
6459.1 scaffold_4 1371048 1371075 - JGI_V11_92009 1369600 1371569 28 - 15452 NA scaffold_4_1371048_1371075_-
6460 scaffold_4 1371126 1371127 - JGI_V11_290510 1369600 1371569 2 - 835 NA scaffold_4_1371126_1371127_-
6460.1 scaffold_4 1371126 1371127 - JGI_V11_92009 1369600 1371569 2 - 835 NA scaffold_4_1371126_1371127_-
6461 scaffold_4 1395298 1395299 - JGI_V11_234601 1394654 1395770 2 - 1835 NA scaffold_4_1395298_1395299_-
6462 scaffold_4 1398551 1398552 - JGI_V11_96133 1395759 1398972 2 - 679 NA scaffold_4_1398551_1398552_-
6464 scaffold_4 1534687 1534688 - JGI_V11_4688 1534408 1536556 2 - 300 NA scaffold_4_1534687_1534688_-
6465 scaffold_4 1536431 1536436 - JGI_V11_4688 1534408 1536556 6 - 2372 NA scaffold_4_1536431_1536436_-
6467 scaffold_4 1668103 1668110 - JGI_V11_311514 1667111 1668571 8 - 1515 NA scaffold_4_1668103_1668110_-
6468 scaffold_4 1675566 1675581 - JGI_V11_299597 1672579 1676100 16 - 1673 NA scaffold_4_1675566_1675581_-
6469 scaffold_4 1731664 1731666 - JGI_V11_305501 1730349 1732166 3 - 2904 NA scaffold_4_1731664_1731666_-
6470 scaffold_4 1828719 1828766 - JGI_V11_305670 1825202 1829180 48 - 6492 NA scaffold_4_1828719_1828766_-
6471 scaffold_4 1843236 1843237 - JGI_V11_305507 1842938 1844075 2 - 350 NA scaffold_4_1843236_1843237_-
6472 scaffold_4 1850220 1850221 - JGI_V11_311561 1847188 1850807 2 - 1724 NA scaffold_4_1850220_1850221_-
6474 scaffold_4 2007107 2007108 - JGI_V11_311578 2004256 2007593 2 - 789 NA scaffold_4_2007107_2007108_-
6475 scaffold_4 2009651 2009652 - JGI_V11_311579 2008663 2010569 2 - 1293 NA scaffold_4_2009651_2009652_-
6476 scaffold_4 2035808 2035809 - JGI_V11_305682 2032888 2036338 2 - 924 NA scaffold_4_2035808_2035809_-
6478 scaffold_4 2076183 2076184 - JGI_V11_234760 2071275 2082990 2 - 355 NA scaffold_4_2076183_2076184_-
6479 scaffold_4 2082377 2082378 - JGI_V11_234760 2071275 2082990 2 - 662 NA scaffold_4_2082377_2082378_-
6480 scaffold_4 2145930 2145932 - JGI_V11_311604 2143236 2146406 3 - 1257 NA scaffold_4_2145930_2145932_-
6481 scaffold_4 2149261 2149263 - JGI_V11_96262 2146836 2149737 3 - 874 NA scaffold_4_2149261_2149263_-
6483 scaffold_4 2152870 2152872 - JGI_V11_311606 2150354 2154523 3 - 1462 NA scaffold_4_2152870_2152872_-
6484 scaffold_4 2174763 2174776 - JGI_V11_305689 2166957 2174878 14 - 1156 NA scaffold_4_2174763_2174776_-
6486 scaffold_4 2309342 2309343 - JGI_V11_96294 2308387 2309791 2 - 535 NA scaffold_4_2309342_2309343_-
6487 scaffold_4 2321434 2321467 - JGI_V11_221306 2320795 2323027 34 - 1927 NA scaffold_4_2321434_2321467_-
6488 scaffold_4 2321733 2321736 - JGI_V11_221306 2320795 2323027 4 - 318 NA scaffold_4_2321733_2321736_-
6489 scaffold_4 2321907 2321908 - JGI_V11_221306 2320795 2323027 2 - 365 NA scaffold_4_2321907_2321908_-
6490 scaffold_4 2322572 2322579 - JGI_V11_221306 2320795 2323027 8 - 28102 NA scaffold_4_2322572_2322579_-
6491 scaffold_4 2329399 2329403 - JGI_V11_305699 2327709 2329838 5 - 1193 NA scaffold_4_2329399_2329403_-
6492 scaffold_4 2332066 2332074 - JGI_V11_311650 2331043 2332574 9 - 39985 NA scaffold_4_2332066_2332074_-
6493 scaffold_4 2333735 2333741 - JGI_V11_305701 2332677 2334239 7 - 8684 NA scaffold_4_2333735_2333741_-
6494 scaffold_4 2335680 2335689 - JGI_V11_305522 2334513 2336189 10 - 18026 NA scaffold_4_2335680_2335689_-
6496 scaffold_4 2339250 2339251 - JGI_V11_305523 2338460 2339945 2 - 492 NA scaffold_4_2339250_2339251_-
6497 scaffold_4 2396989 2396990 - JGI_V11_305703 2394612 2397362 2 - 872 NA scaffold_4_2396989_2396990_-
6498 scaffold_4 2403052 2403057 - JGI_V11_311672 2398836 2403518 6 - 5578 NA scaffold_4_2403052_2403057_-
6499 scaffold_4 2409880 2409881 - JGI_V11_96331 2406330 2409945 2 - 769 NA scaffold_4_2409880_2409881_-
6501 scaffold_4 2419833 2419845 - JGI_V11_305705 2416767 2420341 13 - 6927 NA scaffold_4_2419833_2419845_-
6502 scaffold_4 2421563 2421564 - JGI_V11_311676 2420417 2422054 2 - 511 NA scaffold_4_2421563_2421564_-
6503 scaffold_4 2422026 2422045 - JGI_V11_311676 2420417 2422054 20 - 1275 NA scaffold_4_2422026_2422045_-
6504 scaffold_4 2559425 2559433 - JGI_V11_207089 2554805 2559930 9 - 8075 NA scaffold_4_2559425_2559433_-
6505 scaffold_4 2573047 2573052 - JGI_V11_305537 2571564 2573555 6 - 2192 NA scaffold_4_2573047_2573052_-
6506 scaffold_4 2602002 2602030 - JGI_V11_305539 2600584 2602565 29 - 4538 NA scaffold_4_2602002_2602030_-
6507 scaffold_4 2619899 2619900 - JGI_V11_234909 2618505 2620496 2 - 1248 NA scaffold_4_2619899_2619900_-
6508 scaffold_4 2620278 2620287 - JGI_V11_234909 2618505 2620496 10 - 25489 NA scaffold_4_2620278_2620287_-
6509 scaffold_4 2696983 2696984 - JGI_V11_311745 2696650 2697449 2 - 846 NA scaffold_4_2696983_2696984_-
6510 scaffold_4 2714827 2714829 - JGI_V11_305718 2713026 2715363 3 - 1056 NA scaffold_4_2714827_2714829_-
6512 scaffold_4 2766752 2766754 - JGI_V11_234951 2765772 2767046 3 - 1509 NA scaffold_4_2766752_2766754_-
6513 scaffold_4 2776555 2776600 - JGI_V11_305547 2775003 2777097 46 - 6509 NA scaffold_4_2776555_2776600_-
6515 scaffold_4 2805011 2805014 - JGI_V11_305550 2804359 2807699 4 - 715 NA scaffold_4_2805011_2805014_-
6516 scaffold_4 2805111 2805112 - JGI_V11_305550 2804359 2807699 2 - 2256 NA scaffold_4_2805111_2805112_-
6517 scaffold_4 2805254 2805255 - JGI_V11_305550 2804359 2807699 2 - 801 NA scaffold_4_2805254_2805255_-
6518 scaffold_4 2805375 2805376 - JGI_V11_305550 2804359 2807699 2 - 2578 NA scaffold_4_2805375_2805376_-
6519 scaffold_4 2805398 2805401 - JGI_V11_305550 2804359 2807699 4 - 1830 NA scaffold_4_2805398_2805401_-
6520 scaffold_4 2805531 2805535 - JGI_V11_305550 2804359 2807699 5 - 1836 NA scaffold_4_2805531_2805535_-
6521 scaffold_4 2805943 2805951 - JGI_V11_305550 2804359 2807699 9 - 2608 NA scaffold_4_2805943_2805951_-
6522 scaffold_4 2806007 2806011 - JGI_V11_305550 2804359 2807699 5 - 2095 NA scaffold_4_2806007_2806011_-
6523 scaffold_4 2806040 2806062 - JGI_V11_305550 2804359 2807699 23 - 1491 NA scaffold_4_2806040_2806062_-
6524 scaffold_4 2806486 2806489 - JGI_V11_305550 2804359 2807699 4 - 53293 NA scaffold_4_2806486_2806489_-
6525 scaffold_4 2806509 2806517 - JGI_V11_305550 2804359 2807699 9 - 52699 NA scaffold_4_2806509_2806517_-
6526 scaffold_4 2807198 2807210 - JGI_V11_305550 2804359 2807699 13 - 299645 NA scaffold_4_2807198_2807210_-
6527 scaffold_4 2807231 2807242 - JGI_V11_305550 2804359 2807699 12 - 3252 NA scaffold_4_2807231_2807242_-
6528 scaffold_4 2812076 2812089 - JGI_V11_221374 2809952 2812589 14 - 3708 NA scaffold_4_2812076_2812089_-
6529 scaffold_4 2812137 2812149 - JGI_V11_221374 2809952 2812589 13 - 3159 NA scaffold_4_2812137_2812149_-
6530 scaffold_4 2812196 2812197 - JGI_V11_221374 2809952 2812589 2 - 563 NA scaffold_4_2812196_2812197_-
6531 scaffold_4 2899789 2899793 - JGI_V11_311786 2874472 2900065 5 - 7200 NA scaffold_4_2899789_2899793_-
6532 scaffold_4 2904433 2904434 - JGI_V11_305729 2901787 2904961 2 - 2649 NA scaffold_4_2904433_2904434_-
6533 scaffold_4 2904460 2904464 - JGI_V11_305729 2901787 2904961 5 - 1179 NA scaffold_4_2904460_2904464_-
6534 scaffold_4 2906751 2906755 - JGI_V11_305556 2904819 2907255 5 - 1337 NA scaffold_4_2906751_2906755_-
6536 scaffold_4 2921425 2921446 - JGI_V11_187305 2919403 2921982 22 - 1465 NA scaffold_4_2921425_2921446_-
6537 scaffold_4 2970393 2970410 - JGI_V11_305733 2967845 2970894 18 - 668 NA scaffold_4_2970393_2970410_-
6538 scaffold_4 2981015 2981018 - JGI_V11_96467 2979679 2981099 4 - 1272 NA scaffold_4_2981015_2981018_-
6539 scaffold_4 2993786 2993787 - JGI_V11_311808 2993017 2994469 2 - 888 NA scaffold_4_2993786_2993787_-
6540 scaffold_4 2993970 2993975 - JGI_V11_311808 2993017 2994469 6 - 28013 NA scaffold_4_2993970_2993975_-
6543 scaffold_4 3039017 3039023 - JGI_V11_305738 3029769 3039506 7 - 2256 NA scaffold_4_3039017_3039023_-
6546 scaffold_4 3049786 3049794 - JGI_V11_305566 3049018 3050391 9 - 4330 NA scaffold_4_3049786_3049794_-
6547 scaffold_4 3049847 3049903 - JGI_V11_305566 3049018 3050391 57 - 100350 NA scaffold_4_3049847_3049903_-
6548 scaffold_40 68648 68652 + JGI_V11_305752 68148 70353 5 + 1086 NA scaffold_40_68648_68652_+
6549 scaffold_40 75417 75426 + JGI_V11_247425 72574 81511 10 + 8212 NA scaffold_40_75417_75426_+
6550 scaffold_40 96100 96110 + JGI_V11_321267 95647 100426 11 + 8499 NA scaffold_40_96100_96110_+
6551 scaffold_40 115291 115318 + JGI_V11_305782 114819 116728 28 + 1566 NA scaffold_40_115291_115318_+
6552 scaffold_40 152333 152342 + JGI_V11_247447 151011 155181 10 + 2020 NA scaffold_40_152333_152342_+
6553 scaffold_40 155942 155992 + JGI_V11_305755 155442 156805 51 + 9171 NA scaffold_40_155942_155992_+
6554 scaffold_40 208236 208241 + JGI_V11_225662 207736 210313 6 + 1595 NA scaffold_40_208236_208241_+
6555 scaffold_40 255534 255562 + JGI_V11_213377 255019 258230 29 + 10039 NA scaffold_40_255534_255562_+
6556 scaffold_40 258655 258660 + JGI_V11_106018 258511 259538 6 + 5479 NA scaffold_40_258655_258660_+
6559 scaffold_40 380200 380204 + JGI_V11_305792 379519 382589 5 + 1021 NA scaffold_40_380200_380204_+
6560 scaffold_40 385231 385256 + JGI_V11_321320 384352 385984 26 + 3496 NA scaffold_40_385231_385256_+
6564 scaffold_40 716054 716057 + JGI_V11_305771 715636 718344 4 + 3222 NA scaffold_40_716054_716057_+
6565 scaffold_40 716232 716233 + JGI_V11_305771 715636 718344 2 + 259 NA scaffold_40_716232_716233_+
6566 scaffold_40 732528 732529 + JGI_V11_106095 732243 734341 2 + 293 NA scaffold_40_732528_732529_+
6567 scaffold_40 742207 742211 + JGI_V11_321382 741929 744204 5 + 3382 NA scaffold_40_742207_742211_+
6568 scaffold_40 749236 749248 + JGI_V11_305805 748757 750282 13 + 2553 NA scaffold_40_749236_749248_+
6570 scaffold_40 811751 811752 + JGI_V11_321402 811344 812521 2 + 812 NA scaffold_40_811751_811752_+
6573 scaffold_40 72120 72135 - JGI_V11_305778 70596 72330 16 - 3495 NA scaffold_40_72120_72135_-
6574 scaffold_40 115018 115040 - JGI_V11_305781 110411 115575 23 - 2377 NA scaffold_40_115018_115040_-
6575 scaffold_40 115082 115093 - JGI_V11_305781 110411 115575 12 - 716 NA scaffold_40_115082_115093_-
6576 scaffold_40 137909 137921 - JGI_V11_198312 132323 138376 13 - 1147 NA scaffold_40_137909_137921_-
6577 scaffold_40 137971 137981 - JGI_V11_198312 132323 138376 11 - 5853 NA scaffold_40_137971_137981_-
6578 scaffold_40 159958 159964 - JGI_V11_213367 156807 160463 7 - 5420 NA scaffold_40_159958_159964_-
6579 scaffold_40 160000 160021 - JGI_V11_213367 156807 160463 22 - 1690 NA scaffold_40_160000_160021_-
6580 scaffold_40 214764 214768 - JGI_V11_54191 210839 215200 5 - 2447 NA scaffold_40_214764_214768_-
6581 scaffold_40 214796 214800 - JGI_V11_54191 210839 215200 5 - 1103 NA scaffold_40_214796_214800_-
6584 scaffold_40 254885 254910 - JGI_V11_54175 253594 255071 26 - 2620 NA scaffold_40_254885_254910_-
6585 scaffold_40 370610 370613 - JGI_V11_321313 367406 371031 4 - 980 NA scaffold_40_370610_370613_-
6586 scaffold_40 388689 388704 - JGI_V11_305764 387343 389427 16 - 1725 NA scaffold_40_388689_388704_-
6587 scaffold_40 388923 388927 - JGI_V11_305764 387343 389427 5 - 1568 NA scaffold_40_388923_388927_-
6588 scaffold_40 388961 388962 - JGI_V11_305764 387343 389427 2 - 356 NA scaffold_40_388961_388962_-
6589 scaffold_40 400851 400853 - JGI_V11_213399 397900 403555 3 - 801 NA scaffold_40_400851_400853_-
6590 scaffold_40 567625 567626 - JGI_V11_305768 566808 568126 2 - 1006 NA scaffold_40_567625_567626_-
6591 scaffold_40 677981 677987 - JGI_V11_213420 675708 678567 7 - 11273 NA scaffold_40_677981_677987_-
6592 scaffold_40 678073 678092 - JGI_V11_213420 675708 678567 20 - 1428 NA scaffold_40_678073_678092_-
6593 scaffold_40 708374 708375 - JGI_V11_54168 708142 710033 2 - 361 NA scaffold_40_708374_708375_-
6594 scaffold_40 708432 708433 - JGI_V11_54168 708142 710033 2 - 287 NA scaffold_40_708432_708433_-
6595 scaffold_40 709270 709271 - JGI_V11_54168 708142 710033 2 - 285 NA scaffold_40_709270_709271_-
6596 scaffold_40 709349 709350 - JGI_V11_54168 708142 710033 2 - 371 NA scaffold_40_709349_709350_-
6597 scaffold_40 709501 709517 - JGI_V11_54168 708142 710033 17 - 6530 NA scaffold_40_709501_709517_-
6598 scaffold_40 709537 709549 - JGI_V11_54168 708142 710033 13 - 2221 NA scaffold_40_709537_709549_-
6599 scaffold_40 709792 709798 - JGI_V11_54168 708142 710033 7 - 109156 NA scaffold_40_709792_709798_-
6600 scaffold_40 752449 752457 - JGI_V11_305773 750289 752949 9 - 787 NA scaffold_40_752449_752457_-
6601 scaffold_40 771326 771327 - JGI_V11_321392 770290 771776 2 - 464 NA scaffold_40_771326_771327_-
6602 scaffold_40 847295 847359 - JGI_V11_106124 846646 848074 65 - 5890 NA scaffold_40_847295_847359_-
6603 scaffold_40 847610 847625 - JGI_V11_106124 846646 848074 16 - 103638 NA scaffold_40_847610_847625_-
6604 scaffold_40 893800 893801 - JGI_V11_321425 893451 894924 2 - 1712 NA scaffold_40_893800_893801_-
6605 scaffold_40 893829 893831 - JGI_V11_321425 893451 894924 3 - 1044 NA scaffold_40_893829_893831_-
6606 scaffold_40 893854 893855 - JGI_V11_321425 893451 894924 2 - 844 NA scaffold_40_893854_893855_-
6607 scaffold_40 894078 894155 - JGI_V11_321425 893451 894924 78 - 11901 NA scaffold_40_894078_894155_-
6608 scaffold_40 894183 894184 - JGI_V11_321425 893451 894924 2 - 3695 NA scaffold_40_894183_894184_-
6609 scaffold_40 894407 894410 - JGI_V11_321425 893451 894924 4 - 2922 NA scaffold_40_894407_894410_-
6610 scaffold_40 895586 895606 - JGI_V11_305774 895334 896788 21 - 6875 NA scaffold_40_895586_895606_-
6611 scaffold_40 895638 895641 - JGI_V11_305774 895334 896788 4 - 2389 NA scaffold_40_895638_895641_-
6612 scaffold_40 895710 895731 - JGI_V11_305774 895334 896788 22 - 869 NA scaffold_40_895710_895731_-
6613 scaffold_40 895783 895793 - JGI_V11_305774 895334 896788 11 - 9948 NA scaffold_40_895783_895793_-
6614 scaffold_40 895989 896035 - JGI_V11_305774 895334 896788 47 - 19625 NA scaffold_40_895989_896035_-
6615 scaffold_40 896067 896071 - JGI_V11_305774 895334 896788 5 - 2283 NA scaffold_40_896067_896071_-
6616 scaffold_40 896284 896285 - JGI_V11_305774 895334 896788 2 - 2071 NA scaffold_40_896284_896285_-
6617 scaffold_40 903826 903827 - JGI_V11_321427 901865 912585 2 - 577 NA scaffold_40_903826_903827_-
6618 scaffold_40 955876 955877 - JGI_V11_305775 955527 956612 2 - 476 NA scaffold_40_955876_955877_-
6619 scaffold_40 956104 956113 - JGI_V11_305775 955527 956612 10 - 51610 NA scaffold_40_956104_956113_-
6620 scaffold_40 959414 959415 - JGI_V11_225707 958135 959915 2 - 341 NA scaffold_40_959414_959415_-
6622 scaffold_402 36957 36958 + JGI_V11_305817 36482 38195 2 + 834 NA scaffold_402_36957_36958_+
6623 scaffold_402 40796 40841 + JGI_V11_231914 40268 42534 46 + 10700 NA scaffold_402_40796_40841_+
6624 scaffold_402 34706 34707 - JGI_V11_305822 31815 34764 2 - 667 NA scaffold_402_34706_34707_-
6628 scaffold_405 1547 1555 - JGI_V11_267356 720 2119 9 - 1223 NA scaffold_405_1547_1555_-
6632 scaffold_41 417058 417085 + JGI_V11_106203 416442 418332 28 + 1418 NA scaffold_41_417058_417085_+
6633 scaffold_41 427452 427499 + JGI_V11_305829 426983 428177 48 + 6098 NA scaffold_41_427452_427499_+
6634 scaffold_41 566486 566496 + JGI_V11_247827 556065 586056 11 + 1335 NA scaffold_41_566486_566496_+
6635 scaffold_41 566520 566547 + JGI_V11_247827 556065 586056 28 + 17746 NA scaffold_41_566520_566547_+
6636 scaffold_41 689857 689878 + JGI_V11_247867 689850 690896 22 + 3418 NA scaffold_41_689857_689878_+
6637 scaffold_41 692128 692129 + JGI_V11_321563 691899 701481 2 + 3200 NA scaffold_41_692128_692129_+
6639 scaffold_41 1010947 1010961 + JGI_V11_213503 1010366 1012215 15 + 3327 NA scaffold_41_1010947_1010961_+
6640 scaffold_41 55036 55064 - JGI_V11_305840 50665 55564 29 - 4833 NA scaffold_41_55036_55064_-
6641 scaffold_41 194624 194629 - JGI_V11_305826 191815 195071 6 - 5477 NA scaffold_41_194624_194629_-
6643 scaffold_41 217646 217647 - JGI_V11_198415 200953 217879 2 - 587 NA scaffold_41_217646_217647_-
6645 scaffold_41 232142 232143 - JGI_V11_247751 227759 232360 2 - 820 NA scaffold_41_232142_232143_-
6646 scaffold_41 427195 427210 - JGI_V11_321514 423112 427557 16 - 1334 NA scaffold_41_427195_427210_-
6647 scaffold_41 432923 432924 - JGI_V11_225719 430468 433326 2 - 511 NA scaffold_41_432923_432924_-
6648 scaffold_41 467844 467845 - JGI_V11_305830 467038 469632 2 - 447 NA scaffold_41_467844_467845_-
6649 scaffold_41 469137 469144 - JGI_V11_305830 467038 469632 8 - 2167 NA scaffold_41_469137_469144_-
6650 scaffold_41 509062 509063 - JGI_V11_321529 508040 509539 2 - 659 NA scaffold_41_509062_509063_-
6651 scaffold_41 807658 807671 - JGI_V11_305850 805837 808269 14 - 3961 NA scaffold_41_807658_807671_-
6652 scaffold_41 807766 807769 - JGI_V11_305850 805837 808269 4 - 1331 NA scaffold_41_807766_807769_-
6653 scaffold_41 1015881 1015913 - JGI_V11_225734 1012213 1016413 33 - 1561 NA scaffold_41_1015881_1015913_-
6654 scaffold_4175 441 468 + JGI_V11_305858 -84 1122 28 + 23061 NA scaffold_4175_441_468_+
6659 scaffold_42 99600 99607 + JGI_V11_54555 99196 102890 8 + 5089 NA scaffold_42_99600_99607_+
6660 scaffold_42 291425 291426 + JGI_V11_54466 291056 293602 2 + 1085 NA scaffold_42_291425_291426_+
6661 scaffold_42 318742 318744 + JGI_V11_225749 318492 325178 3 + 1785 NA scaffold_42_318742_318744_+
