JGI_V11_221545	FBgn0036812	Nufip
JGI_V11_321731	FBgn0031895	CG4497
JGI_V11_300598	FBgn0039007	CCAP
JGI_V11_44582	FBgn0011723	byn
JGI_V11_202861	FBgn0033665	Zip48C
JGI_V11_236661	FBgn0036661	CG9705
JGI_V11_250490	FBgn0035558	CG11357
JGI_V11_49847	FBgn0026376	Rgl
JGI_V11_302014	FBgn0032635	CG15141
JGI_V11_302013	FBgn0051638	CG31638
JGI_V11_115430	FBgn0260755	CG42553
JGI_V11_15946	FBgn0030647	CG6324
JGI_V11_301827	FBgn0035444	CG12012
JGI_V11_242020	FBgn0053129	CG33129
JGI_V11_40460	FBgn0262684	
JGI_V11_309158	FBgn0015521	RpS21
JGI_V11_302807	FBgn0032059	PrBP
JGI_V11_14544	FBgn0036428	Gbs-70E
JGI_V11_226035	FBgn0030081	CG7246
JGI_V11_234231	FBgn0027835	Dp1
JGI_V11_106861	FBgn0261928	CG42795
JGI_V11_324817	FBgn0032246	CG5168
JGI_V11_318205	FBgn0029665	CG14270
JGI_V11_308937	FBgn0004397	Vinc
JGI_V11_201747	FBgn0039829	CG15561
JGI_V11_51007	FBgn0261053	Cad86C
JGI_V11_308933	FBgn0033015	d4
JGI_V11_303683	FBgn0037482	CG10055
JGI_V11_311679	FBgn0038569	CG7218
JGI_V11_264621	FBgn0263400	CG43446
JGI_V11_318406	FBgn0035901	CG6745
JGI_V11_111356	FBgn0036847	CG11577
JGI_V11_306386	FBgn0260499	qvr
JGI_V11_229490	FBgn0033453	CG1667
JGI_V11_304723	FBgn0020887	Su(z)12
JGI_V11_228726	FBgn0263968	nonC
JGI_V11_319317	FBgn0265597	rad
JGI_V11_308415	FBgn0032793	CG10189
JGI_V11_27119	FBgn0032208	CG5604
JGI_V11_243106	FBgn0035627	Sse
JGI_V11_306616	FBgn0031979	CCDC53
JGI_V11_301398	FBgn0037756	CG8507
JGI_V11_301391	FBgn0033869	Cpr50Cb
JGI_V11_43964	FBgn0033948	CG12863
JGI_V11_311200	FBgn0022959	yps
JGI_V11_98713	FBgn0023526	CG2865
JGI_V11_52203	FBgn0031777	CG9154
JGI_V11_53154	FBgn0027581	CG6191
JGI_V11_210281	FBgn0034959	CG11388
JGI_V11_64953	FBgn0261617	nej
JGI_V11_309083	FBgn0015271	Orc5
JGI_V11_227633	FBgn0037777	CG11722
JGI_V11_231317	FBgn0050392	CG30392
JGI_V11_307524	FBgn0040777	CG14767
JGI_V11_200573	FBgn0039530	Tusp
JGI_V11_330100	FBgn0026090	CG14812
JGI_V11_305955	FBgn0028688	Rpn7
JGI_V11_46501	FBgn0039560	CG5514
JGI_V11_208336	FBgn0086446	DCTN6-p27
JGI_V11_325742	FBgn0038095	Cyp304a1
JGI_V11_192640	FBgn0030276	Dlic
JGI_V11_199610	FBgn0051712	CG31712
JGI_V11_210868	FBgn0261109	mrn
JGI_V11_315787	FBgn0034269	CG6406
JGI_V11_330996	FBgn0000565	Eip71CD
JGI_V11_299840	FBgn0004580	Cbp53E
JGI_V11_198258	FBgn0259139	glo
JGI_V11_230203	FBgn0021967	ND-PDSW
JGI_V11_191167	FBgn0032032	CG17294
JGI_V11_196099	FBgn0032051	CG13097
JGI_V11_94727	FBgn0005355	Su(fu)
JGI_V11_39807	FBgn0004391	shtd
JGI_V11_232154	FBgn0261261	plx
JGI_V11_303532	FBgn0032949	Lamp1
JGI_V11_303531	FBgn0260985	RfC4
JGI_V11_303537	FBgn0029879	APC7
JGI_V11_306014	FBgn0042134	Capr
JGI_V11_44178	FBgn0032846	CG10721
JGI_V11_47474	FBgn0038686	CG5555
JGI_V11_191336	FBgn0031947	CG7154
JGI_V11_216425	FBgn0035805	CG7506
JGI_V11_321802	FBgn0005696	DNApol-alpha73
JGI_V11_303148	FBgn0033379	Mys45A
JGI_V11_303141	FBgn0030286	CG1657
JGI_V11_308626	FBgn0034372	Gint3
JGI_V11_308625	FBgn0034691	Synj
JGI_V11_192459	FBgn0086372	lap
JGI_V11_325820	FBgn0033087	Hsepi
JGI_V11_39440	FBgn0011476	l(3)neo43
JGI_V11_325531	FBgn0035921	CG13305
JGI_V11_31639	FBgn0261570	CG42684
JGI_V11_117600	FBgn0086698	frtz
JGI_V11_198149	FBgn0263697	Uba3
JGI_V11_224167	FBgn0051368	CG31368
JGI_V11_50546	FBgn0004865	Eip78C
JGI_V11_305847	FBgn0033206	DCTN4-p62
JGI_V11_302813	FBgn0028919	CG16865
JGI_V11_127151	FBgn0035272	mRpL46
JGI_V11_98779	FBgn0035063	CG3594
JGI_V11_308080	FBgn0040324	Ephrin
JGI_V11_318238	FBgn0039110	RanBP3
JGI_V11_318231	FBgn0033401	CG1968
JGI_V11_315148	FBgn0039149	CG18428
JGI_V11_331812	FBgn0002707	mei-9
JGI_V11_307738	FBgn0039172	Spase22-23
JGI_V11_309973	FBgn0010215	alpha-Cat
JGI_V11_224383	FBgn0025864	Crag
JGI_V11_204955	FBgn0000320	eya
JGI_V11_32444	FBgn0033038	CG7791
JGI_V11_303858	FBgn0011204	cue
JGI_V11_323288	FBgn0264598	PsGEF
JGI_V11_303856	FBgn0011204	cue
JGI_V11_315201	FBgn0037779	CG12811
JGI_V11_230833	FBgn0038074	Gnmt
JGI_V11_118640	FBgn0062449	CG13197
JGI_V11_55223	FBgn0036511	
JGI_V11_324397	FBgn0050423	CG30423
JGI_V11_309287	FBgn0052177	Ndfip
JGI_V11_308885	FBgn0261064	Rbsn-5
JGI_V11_64425	FBgn0036306	CG10973
JGI_V11_98516	FBgn0003984	vn
JGI_V11_309029	FBgn0033483	egr
JGI_V11_112212	FBgn0037541	CG2747
JGI_V11_233847	FBgn0003961	Uro
JGI_V11_300171	FBgn0259483	Mob4
JGI_V11_187692	FBgn0031493	CG3605
JGI_V11_300176	FBgn0028470	
JGI_V11_300174	FBgn0053554	Nipped-A
JGI_V11_314156	FBgn0032154	mtDNA-helicase
JGI_V11_323026	FBgn0013765	cnn
JGI_V11_205304	FBgn0003279	RpL4
JGI_V11_323029	FBgn0027500	spd-2
JGI_V11_189230	FBgn0038167	Lkb1
JGI_V11_42960	FBgn0086711	mol
JGI_V11_99108	FBgn0034914	CG5554
JGI_V11_328033	FBgn0035179	CG12038
JGI_V11_216637	FBgn0039450	CG5484
JGI_V11_305287	FBgn0003257	r-l
JGI_V11_247145	FBgn0039261	CG6422
JGI_V11_59988	FBgn0034223	Tes
JGI_V11_236642	FBgn0003416	sl
JGI_V11_229958	FBgn0035921	CG13305
JGI_V11_229408	FBgn0038536	CG7655
JGI_V11_37700	FBgn0262483	Rbp
JGI_V11_302033	FBgn0036691	beg
JGI_V11_333195	FBgn0040666	CG12848
JGI_V11_226406	FBgn0030735	CG3632
JGI_V11_243267	FBgn0261284	bou
JGI_V11_302156	FBgn0039633	CG11873
JGI_V11_302155	FBgn0031428	CG9886
JGI_V11_313317	FBgn0025373	Fpps
JGI_V11_322245	FBgn0030054	Caf1-180
JGI_V11_305473	FBgn0030941	wgn
JGI_V11_212397	FBgn0263278	Fic
JGI_V11_230012	FBgn0033869	Cpr50Cb
JGI_V11_62015	FBgn0027066	Eb1
JGI_V11_62011	FBgn0002354	l(3)87Df
JGI_V11_300886	FBgn0010504	kermit
JGI_V11_335174	FBgn0037622	CG8202
JGI_V11_30734	FBgn0033050	Pngl
JGI_V11_229122	FBgn0030208	PPP4R2r
JGI_V11_228520	FBgn0032467	CG9934
JGI_V11_303205	FBgn0027868	Nup107
JGI_V11_300779	FBgn0026196	nop5
JGI_V11_300691	FBgn0010411	RpS18
JGI_V11_301826	FBgn0035444	CG12012
JGI_V11_307804	FBgn0033550	CG12341
JGI_V11_304709	FBgn0040236	c11.1
JGI_V11_327275	FBgn0035227	Iml1
JGI_V11_61590	FBgn0020251	sfl
JGI_V11_231763	FBgn0019957	ND-42
JGI_V11_233379	FBgn0261574	kug
JGI_V11_303904	FBgn0010415	Sdc
JGI_V11_55126	FBgn0013718	nuf
JGI_V11_206140	FBgn0085242	CG34213
JGI_V11_196010	FBgn0023521	CG3587
JGI_V11_304442	FBgn0053544	Vkor
JGI_V11_52884	FBgn0036514	CG12301
JGI_V11_220521	FBgn0004832	Xpac
JGI_V11_231372	FBgn0033100	CG3420
JGI_V11_189314	FBgn0035035	CG3570
JGI_V11_301124	FBgn0015376	cutlet
JGI_V11_21055	FBgn0053639	CG33639
JGI_V11_52086	FBgn0027358	Tim9b
JGI_V11_307503	FBgn0035109	CG13876
JGI_V11_49671	FBgn0034579	mRpL54
JGI_V11_311887	FBgn0037702	CG8176
JGI_V11_310135	FBgn0260817	gkt
JGI_V11_49678	FBgn0014879	Set
JGI_V11_311889	FBgn0035385	FMRFaR
JGI_V11_307757	FBgn0036740	Vps60
JGI_V11_305610	FBgn0039681	CG7582
JGI_V11_324239	FBgn0261922	
JGI_V11_324231	FBgn0028894	GMF
JGI_V11_310133	FBgn0029935	CG4615
JGI_V11_43635	FBgn0034590	Magi
JGI_V11_320031	FBgn0031663	CG8891
JGI_V11_35495	FBgn0037116	Als2
JGI_V11_323032	FBgn0028532	CG7968
JGI_V11_62579	FBgn0086656	shrb
JGI_V11_237230	FBgn0034068	casp
JGI_V11_244605	FBgn0034106	CG9068
JGI_V11_43248	FBgn0031815	frj
JGI_V11_337296	FBgn0030791	CG9132
JGI_V11_43247	FBgn0038901	Burs
JGI_V11_36393	FBgn0064115	CG33649
JGI_V11_301634	FBgn0010909	msn
JGI_V11_302357	FBgn0034366	Atg7
JGI_V11_230221	FBgn0034893	mRpL43
JGI_V11_322760	FBgn0032925	CG9246
JGI_V11_303513	FBgn0033755	ClC-b
JGI_V11_202413	FBgn0003330	Sce
JGI_V11_308052	FBgn0021847	l(2)k14710
JGI_V11_316306	FBgn0035755	CG14830
JGI_V11_300961	FBgn0036405	CG6833
JGI_V11_195506	FBgn0261790	SmE
JGI_V11_326867	FBgn0035026	Fcp1
JGI_V11_220863	FBgn0035540	Syx17
JGI_V11_290530	FBgn0000117	arm
JGI_V11_290533	FBgn0004595	pros
JGI_V11_239388	FBgn0037897	CG5270
JGI_V11_266069	FBgn0000524	dx
JGI_V11_109359	FBgn0002962	nos
JGI_V11_8789	FBgn0004865	Eip78C
JGI_V11_231574	FBgn0017579	RpL14
JGI_V11_307347	FBgn0041184	Socs36E
JGI_V11_307341	FBgn0019925	Surf4
JGI_V11_307343	FBgn0032698	CG10336
JGI_V11_307342	FBgn0033485	RpLP0-like
JGI_V11_119285	FBgn0036742	CG7497
JGI_V11_339437	FBgn0036348	CG17687
JGI_V11_222844	FBgn0030719	eIF5
JGI_V11_107305	FBgn0051151	wge
JGI_V11_187016	FBgn0085453	CG34424
JGI_V11_50562	FBgn0003896	tup
JGI_V11_305829	FBgn0039765	mRpS18C
JGI_V11_305822	FBgn0024734	PRL-1
JGI_V11_305821	FBgn0051004	mesh
JGI_V11_302834	FBgn0035437	Strip
JGI_V11_305827	FBgn0019662	qm
JGI_V11_318217	FBgn0265048	cv-d
JGI_V11_100794	FBgn0036210	CG14130
JGI_V11_307758	FBgn0004132	boca
JGI_V11_312479	FBgn0036338	
JGI_V11_276165	FBgn0263027	CG43322
JGI_V11_312475	FBgn0024542	Neos
JGI_V11_113963	FBgn0032013	Scgalpha
JGI_V11_98347	FBgn0024236	foi
JGI_V11_31875	FBgn0034649	CG9865
JGI_V11_327619	FBgn0264560	garz
JGI_V11_101227	FBgn0051291	
JGI_V11_300874	FBgn0053123	CG33123
JGI_V11_103849	FBgn0037956	CG6959
JGI_V11_52430	FBgn0042696	NfI
JGI_V11_304063	FBgn0002643	mam
JGI_V11_314212	FBgn0030660	CG8097
JGI_V11_314211	FBgn0037981	Spt3
JGI_V11_314210	FBgn0025621	CG16989
JGI_V11_308209	FBgn0261436	DhpD
JGI_V11_306932	FBgn0032859	Arpc2
JGI_V11_301589	FBgn0031282	Pex12
JGI_V11_301586	FBgn0033869	Cpr50Cb
JGI_V11_42714	FBgn0025836	RhoGAP1A
JGI_V11_198868	FBgn0039008	CG6972
JGI_V11_308204	FBgn0037880	CG17726
JGI_V11_320202	FBgn0003900	twi
JGI_V11_302585	FBgn0030239	CG17333
JGI_V11_220427	FBgn0011202	dia
JGI_V11_333298	FBgn0003062	Fib
JGI_V11_301455	FBgn0061359	CG33671
JGI_V11_317790	FBgn0052512	CG32512
JGI_V11_63387	FBgn0034400	CG15099
JGI_V11_313486	FBgn0032848	nesd
JGI_V11_57300	FBgn0260012	pds5
JGI_V11_260992	FBgn0261258	rgn
JGI_V11_336000	FBgn0250819	CG33521
JGI_V11_231825	FBgn0032292	EMC3
JGI_V11_328299	FBgn0035574	RhoGEF64C
JGI_V11_314241	FBgn0036263	thoc6
JGI_V11_324585	FBgn0034854	Golgin245
JGI_V11_58732	FBgn0025635	CG17829
JGI_V11_47843	FBgn0264495	gpp
JGI_V11_108299	FBgn0032221	CG5375
JGI_V11_234907	FBgn0027335	Rip11
JGI_V11_62030	FBgn0024555	flfl
JGI_V11_330231	FBgn0033368	CG13743
JGI_V11_196440	FBgn0035603	CG10635
JGI_V11_303263	FBgn0003559	su(f)
JGI_V11_301800	FBgn0038307	mRpS10
JGI_V11_301804	FBgn0038853	RhoGAP93B
JGI_V11_319352	FBgn0263197	Patronin
JGI_V11_307441	FBgn0051648	CG31648
JGI_V11_92230	FBgn0031977	baf
JGI_V11_311054	FBgn0039290	CG13654
JGI_V11_42520	FBgn0039360	CLS
JGI_V11_227411	FBgn0261396	Rpn3
JGI_V11_21359	FBgn0035518	CG15011
JGI_V11_100633	FBgn0028906	CG17341
JGI_V11_120652	FBgn0039527	CG5639
JGI_V11_120301	FBgn0052594	be
JGI_V11_290539	FBgn0261560	Thor
JGI_V11_305054	FBgn0261535	l(2)34Fd
JGI_V11_335858	FBgn0038597	CG8064
JGI_V11_187801	FBgn0263200	Galt
JGI_V11_231352	FBgn0014026	RpL7A
JGI_V11_236433	FBgn0029936	CG4617
JGI_V11_307567	FBgn0031985	mon2
JGI_V11_305633	FBgn0025865	Cortactin
JGI_V11_46356	FBgn0037578	CG9601
JGI_V11_46354	FBgn0014949	btn
JGI_V11_247827	FBgn0031879	uif
JGI_V11_305639	FBgn0035254	CG7974
JGI_V11_205778	FBgn0024956	Mat1
JGI_V11_334897	FBgn0034229	CG4847
JGI_V11_334894	FBgn0034229	CG4847
JGI_V11_324210	FBgn0003520	stau
JGI_V11_45556	FBgn0001974	l(2)35Bd
JGI_V11_198277	FBgn0261259	
JGI_V11_94666	FBgn0039667	CG2010
JGI_V11_122657	FBgn0046692	Stlk
JGI_V11_222611	FBgn0037958	CG6962
JGI_V11_222617	FBgn0035146	CG13893
JGI_V11_211991	FBgn0034141	CG8311
JGI_V11_225885	FBgn0039065	CG4449
JGI_V11_232196	FBgn0260456	CG4806
JGI_V11_102458	FBgn0016694	Pdp1
JGI_V11_194367	FBgn0011653	mas
JGI_V11_304867	FBgn0043799	CG31381
JGI_V11_301632	FBgn0033929	Tfb1
JGI_V11_301631	FBgn0030683	CG8239
JGI_V11_196636	FBgn0032901	sky
JGI_V11_314472	FBgn0004575	Syn
JGI_V11_202691	FBgn0035987	CG3689
JGI_V11_216176	FBgn0035827	Srp9
JGI_V11_231513	FBgn0031529	CG9662
JGI_V11_30856	FBgn0030342	CG10347
JGI_V11_234592	FBgn0035021	CG4622
JGI_V11_233246	FBgn0052227	gogo
JGI_V11_187780	FBgn0030799	CG4872
JGI_V11_238922	FBgn0037540	Pbp95
JGI_V11_307367	FBgn0005596	yem
JGI_V11_307362	FBgn0032251	Nse4
JGI_V11_333716	FBgn0263400	CG43446
JGI_V11_226343	FBgn0003638	su(w[a])
JGI_V11_106786	FBgn0004795	retn
JGI_V11_324820	FBgn0039094	CG10184
JGI_V11_315984	FBgn0037027	HIPP1
JGI_V11_107368	FBgn0039411	dysf
JGI_V11_310752	FBgn0030466	CG15744
JGI_V11_310750	FBgn0086445	l(2)37Cd
JGI_V11_302852	FBgn0037525	CG17816
JGI_V11_219571	FBgn0036398	upSET
JGI_V11_191117	FBgn0034075	Asph
JGI_V11_51806	FBgn0023090	dtr
JGI_V11_206599	FBgn0028836	CSN7
JGI_V11_213033	FBgn0031850	Tsp
JGI_V11_318761	FBgn0037540	Pbp95
JGI_V11_307348	FBgn0000100	RpLP0
JGI_V11_238438	FBgn0000615	exu
JGI_V11_307773	FBgn0038327	Trax
JGI_V11_308469	FBgn0264449	CG43867
JGI_V11_230600	FBgn0033912	RpS23
JGI_V11_299870	FBgn0051908	CG31908
JGI_V11_117932	FBgn0027509	TBCD
JGI_V11_106588	FBgn0027655	htt
JGI_V11_101181	FBgn0038725	CG6184
JGI_V11_227585	FBgn0029148	NHP2
JGI_V11_5959	FBgn0039655	CG14507
JGI_V11_96584	FBgn0036520	CG13449
JGI_V11_306577	FBgn0053144	CG33144
JGI_V11_306573	FBgn0036292	CG10646
JGI_V11_302659	FBgn0029529	CG13365
JGI_V11_306579	FBgn0262117	IntS3
JGI_V11_309247	FBgn0016970	l(2)k10201
JGI_V11_198960	FBgn0034537	DMAP1
JGI_V11_248591	FBgn0037027	HIPP1
JGI_V11_304043	FBgn0083978	CG17672
JGI_V11_301032	FBgn0040964	CG18661
JGI_V11_198904	FBgn0028690	Rpn5
JGI_V11_311182	FBgn0031294	IA-2
JGI_V11_104183	FBgn0000606	eve
JGI_V11_300200	FBgn0026261	bonsai
JGI_V11_314277	FBgn0005654	lat
JGI_V11_308484	FBgn0003447	sn
JGI_V11_219999	FBgn0037979	GCC185
JGI_V11_200992	FBgn0038437	Sdhaf3
JGI_V11_205163	FBgn0038829	CG17271
JGI_V11_219990	FBgn0051291	
JGI_V11_308221	FBgn0035402	Usp5
JGI_V11_309060	FBgn0265512	mlt
JGI_V11_309061	FBgn0038810	Srp72
JGI_V11_194178	FBgn0022724	Taf8
JGI_V11_194175	FBgn0039663	CG2321
JGI_V11_323067	FBgn0036886	CG9300
JGI_V11_99499	FBgn0038693	unc79
JGI_V11_9208	FBgn0005659	Ets98B
JGI_V11_236603	FBgn0038315	CG14866
JGI_V11_308546	FBgn0030196	Psf3
JGI_V11_54851	FBgn0028527	CG18507
JGI_V11_190896	FBgn0027885	Aac11
JGI_V11_306915	FBgn0034985	CG3328
JGI_V11_306914	FBgn0011573	Cdc37
JGI_V11_330735	FBgn0262870	axo
JGI_V11_213575	FBgn0000319	Chc
JGI_V11_49826	FBgn0063485	Lasp
JGI_V11_322681	FBgn0037330	mRpL44
JGI_V11_98818	FBgn0044510	mRpS5
JGI_V11_209116	FBgn0086674	Tango13
JGI_V11_41461	FBgn0265192	Snp
JGI_V11_308549	FBgn0250911	CG42245
JGI_V11_232298	FBgn0027287	Gmap
JGI_V11_40738	FBgn0039187	CG6454
JGI_V11_321132	FBgn0034859	CG3520
JGI_V11_219748	FBgn0000543	ecd
JGI_V11_211767	FBgn0015075	Ddx1
JGI_V11_5311	FBgn0032694	MESR3
JGI_V11_232073	FBgn0062517	CG16984
JGI_V11_313753	FBgn0024992	CG2658
JGI_V11_225606	FBgn0051721	Trim9
JGI_V11_301614	FBgn0038320	Sra-1
JGI_V11_301797	FBgn0030067	Rbm13
JGI_V11_301464	FBgn0035122	mRpL17
JGI_V11_66289	FBgn0000221	brn
JGI_V11_304719	FBgn0035073	CG16896
JGI_V11_311613	FBgn0036515	CG12304
JGI_V11_196460	FBgn0032475	Sfmbt
JGI_V11_303240	FBgn0030499	CG11178
JGI_V11_306361	FBgn0035206	CG9186
JGI_V11_306364	FBgn0025469	slv
JGI_V11_301869	FBgn0033769	CG8768
JGI_V11_308944	FBgn0262603	
JGI_V11_216236	FBgn0031716	CG14015
JGI_V11_301862	FBgn0027360	Tim10
JGI_V11_301860	FBgn0022027	Vps25
JGI_V11_47172	FBgn0030037	CG12125
JGI_V11_304240	FBgn0032703	CG10343
JGI_V11_206450	FBgn0011762	DNApol-alpha50
JGI_V11_224268	FBgn0027619	Adam
JGI_V11_92217	FBgn0039427	CG5447
JGI_V11_95934	FBgn0262123	l(2)41Ab
JGI_V11_16502	FBgn0030799	CG4872
JGI_V11_100340	FBgn0033869	Cpr50Cb
JGI_V11_262533	FBgn0067629	CG33332
JGI_V11_187221	FBgn0031450	Hrs
JGI_V11_304214	FBgn0035877	CG7083
JGI_V11_60971	FBgn0013733	shot
JGI_V11_228781	FBgn0032156	CG13124
JGI_V11_65254	FBgn0005427	ewg
JGI_V11_22062	FBgn0040080	pins
JGI_V11_313916	FBgn0026015	Top3beta
JGI_V11_308173	FBgn0261274	Ero1L
JGI_V11_305942	FBgn0263241	Mocs1
JGI_V11_46628	FBgn0002973	numb
JGI_V11_200507	FBgn0037327	PEK
JGI_V11_317628	FBgn0033000	CG14464
JGI_V11_46334	FBgn0030966	CG7280
JGI_V11_310174	FBgn0086472	RpS25
JGI_V11_128497	FBgn0029853	CG3781
JGI_V11_191081	FBgn0039209	REPTOR
JGI_V11_329178	FBgn0028436	ECSIT
JGI_V11_52452	FBgn0037342	CG2931
JGI_V11_64073	FBgn0004643	Zw10
JGI_V11_301268	FBgn0030396	CG2556
JGI_V11_301269	FBgn0040071	tara
JGI_V11_210592	FBgn0038195	CG3061
JGI_V11_300013	FBgn0051992	gw
JGI_V11_300019	FBgn0030007	alpha-PheRS
JGI_V11_62287	FBgn0015721	ktub
JGI_V11_191173	FBgn0053260	CG33260
JGI_V11_321304	FBgn0030685	Graf
JGI_V11_59672	FBgn0034084	CG8435
JGI_V11_316345	FBgn0259818	CG42399
JGI_V11_301653	FBgn0040022	Set1
JGI_V11_301656	FBgn0031629	Clect27
JGI_V11_187425	FBgn0028707	Mt2
JGI_V11_320933	FBgn0036038	defl
JGI_V11_8813	FBgn0085432	pan
JGI_V11_231539	FBgn0003274	RpLP2
JGI_V11_97889	FBgn0031708	CG7382
JGI_V11_8210	FBgn0020617	Rx
JGI_V11_111071	FBgn0034804	CG3831
JGI_V11_334145	FBgn0039261	CG6422
JGI_V11_39424	FBgn0052528	parvin
JGI_V11_114938	FBgn0039337	MED28
JGI_V11_319968	FBgn0031684	ND-13A
JGI_V11_242342	FBgn0035577	CG13708
JGI_V11_310772	FBgn0034051	Mlf
JGI_V11_302879	FBgn0264711	CG43980
JGI_V11_230815	FBgn0026084	cib
JGI_V11_312433	FBgn0030318	rho-4
JGI_V11_312432	FBgn0030474	CG15747
JGI_V11_238415	FBgn0038294	Mf
JGI_V11_238417	FBgn0038294	Mf
JGI_V11_65174	FBgn0000099	
JGI_V11_299813	FBgn0029868	ND-B16.6
JGI_V11_190908	FBgn0033052	SCAP
JGI_V11_300651	FBgn0038045	NANS
JGI_V11_230622	FBgn0001491	l(1)10Bb
JGI_V11_300659	FBgn0034231	APC10
JGI_V11_330115	FBgn0263400	CG43446
JGI_V11_43086	FBgn0261547	Exn
JGI_V11_51702	FBgn0032816	Nf-YB
JGI_V11_237928	FBgn0039054	Cow
JGI_V11_127468	FBgn0261859	CG42788
JGI_V11_308028	FBgn0262512	Vha14-1
JGI_V11_301017	FBgn0037130	Syn1
JGI_V11_304531	FBgn0030678	CG11679
JGI_V11_215319	FBgn0023528	CG2924
JGI_V11_304023	FBgn0033088	PGAP3
JGI_V11_304027	FBgn0039265	CG11790
JGI_V11_21042	FBgn0050440	CG30440
JGI_V11_308242	FBgn0263260	sel
JGI_V11_308245	FBgn0026076	UBL3
JGI_V11_194112	FBgn0021814	Vps28
JGI_V11_227209	FBgn0036272	CG4300
JGI_V11_56737	FBgn0002917	na
JGI_V11_227204	FBgn0043455	CG5986
JGI_V11_60663	FBgn0086448	Gpi1
JGI_V11_53701	FBgn0034009	CG8155
JGI_V11_305773	FBgn0037980	CG3313
JGI_V11_313709	FBgn0035047	Pof
JGI_V11_250988	FBgn0262562	CG43102
JGI_V11_45458	FBgn0261279	lqfR
JGI_V11_45102	FBgn0041186	Slbp
JGI_V11_317282	FBgn0034745	CG4329
JGI_V11_320536	FBgn0032753	CG17572
JGI_V11_317133	FBgn0259704	Nsun5
JGI_V11_321111	FBgn0034096	CG7786
JGI_V11_237022	FBgn0002441	l(3)mbt
JGI_V11_18736	FBgn0034172	CG6665
JGI_V11_300829	FBgn0263852	l(2)k12914
JGI_V11_300824	FBgn0010391	Gtp-bp
JGI_V11_300823	FBgn0261800	LanB1
JGI_V11_300822	FBgn0032929	Mcm10
JGI_V11_308656	FBgn0037652	CG11980
JGI_V11_225438	FBgn0052075	CG32075
JGI_V11_326363	FBgn0013548	l(2)dtl
JGI_V11_59022	FBgn0262139	trh
JGI_V11_231704	FBgn0030743	CG9921
JGI_V11_27196	FBgn0051323	CG31323
JGI_V11_114438	FBgn0034692	CG13502
JGI_V11_220094	FBgn0032258	CG7456
JGI_V11_314827	FBgn0026738	CG7857
JGI_V11_52862	FBgn0027518	CG7609
JGI_V11_314139	FBgn0030809	Ubr1
JGI_V11_302447	FBgn0035443	CG12010
JGI_V11_303911	FBgn0259979	CG17337
JGI_V11_65270	FBgn0028717	Lnk
JGI_V11_305544	FBgn0022268	
JGI_V11_305543	FBgn0034879	Rrp4
JGI_V11_257231	FBgn0259226	CG42326
JGI_V11_261723	FBgn0020660	eIF-4B
JGI_V11_198715	FBgn0032511	ND-B22
JGI_V11_100941	FBgn0033918	CG8531
JGI_V11_56831	FBgn0265140	Meltrin
JGI_V11_18869	FBgn0033869	Cpr50Cb
JGI_V11_57172	FBgn0025117	
JGI_V11_263794	FBgn0010770	ppan
JGI_V11_62513	FBgn0011481	Ssdp
JGI_V11_68011	FBgn0037305	CG12173
JGI_V11_301200	FBgn0260467	CG7071
JGI_V11_211957	FBgn0039861	pasha
JGI_V11_304824	FBgn0011289	TfIIA-L
JGI_V11_304827	FBgn0263602	Tasp1
JGI_V11_304828	FBgn0023180	Orc6
JGI_V11_231670	FBgn0029885	CG3224
JGI_V11_335981	FBgn0021818	cnk
JGI_V11_195334	FBgn0028473	Non1
JGI_V11_53510	FBgn0039306	RIOK2
JGI_V11_301671	FBgn0003044	Pcl
JGI_V11_114162	FBgn0038626	CG7691
JGI_V11_314689	FBgn0011653	mas
JGI_V11_307324	FBgn0052204	CG32204
JGI_V11_307328	FBgn0259199	Snup
JGI_V11_226653	FBgn0038533	CG7523
JGI_V11_322478	FBgn0039489	CG5880
JGI_V11_319941	FBgn0028741	fab1
JGI_V11_310712	FBgn0002878	mus101
JGI_V11_334290	FBgn0243486	rdo
JGI_V11_202030	FBgn0031893	CG4495
JGI_V11_94943	FBgn0259146	CG42261
JGI_V11_300671	FBgn0039280	Mocs2
JGI_V11_299839	FBgn0027579	mino
JGI_V11_300674	FBgn0034072	Dg
JGI_V11_299520	FBgn0010382	CycE
JGI_V11_304789	FBgn0035995	CG3529
JGI_V11_110018	FBgn0037949	CG17360
JGI_V11_241913	FBgn0083951	CG34115
JGI_V11_230708	FBgn0031228	ND-15
JGI_V11_96097	FBgn0029914	CG4558
JGI_V11_230702	FBgn0035422	RpL28
JGI_V11_103579	FBgn0037624	CG8223
JGI_V11_300630	FBgn0010078	RpL23
JGI_V11_306537	FBgn0036684	CG3764
JGI_V11_304007	FBgn0016693	Past1
JGI_V11_301077	FBgn0037709	CG8199
JGI_V11_304008	FBgn0035593	CG4603
JGI_V11_300241	FBgn0035508	CG15005
JGI_V11_300243	FBgn0040020	MED21
JGI_V11_300638	FBgn0031174	CG1486
JGI_V11_330316	FBgn0036463	Reck
JGI_V11_306632	FBgn0010421	TfIIFbeta
JGI_V11_313893	FBgn0030668	CG8128
JGI_V11_231070	FBgn0036136	Ufd1-like
JGI_V11_106506	FBgn0030336	CG1578
JGI_V11_307660	FBgn0051158	Efa6
JGI_V11_303506	FBgn0024841	Pcd
JGI_V11_113099	FBgn0033762	ZnT49B
JGI_V11_306025	FBgn0032429	CG5446
